index,code,year,period,id,Country,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling
654,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010492,United Kingdom,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
655,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010657,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
657,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010612,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
674,EEA_3161-03-3,2008,2008-01--2008-12,FRGR1026,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
681,EEA_3161-02-2,2008,2008-01--2008-12,FRGR0460C,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
685,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0520,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
688,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0524,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
724,EEA_31615-01-7,2008,2008-01--2008-12,FRHR77,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
725,EEA_3161-02-2,2008,2008-01--2008-12,FRHR77,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
726,EEA_3161-05-5,2008,2008-01--2008-12,FRHR79,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
727,EEA_31615-01-7,2008,2008-01--2008-12,FRHR79,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
728,EEA_3161-02-2,2008,2008-01--2008-12,FRHR79,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
730,EEA_3161-01-1,2008,2008-01--2008-12,FRDR182,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
733,EEA_3161-01-1,2008,2008-01--2008-12,FRDR136B,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
734,EEA_3161-05-5,2008,2008-01--2008-12,FRDR136B,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
735,EEA_3161-01-1,2008,2008-01--2008-12,FRDR11502,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
736,EEA_3161-05-5,2008,2008-01--2008-12,FRDR11502,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
744,EEA_3161-01-1,2008,2008-01--2008-12,FRDR11359,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
745,EEA_3161-05-5,2008,2008-01--2008-12,FRDR11359,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
753,EEA_3161-01-1,2008,2008-01--2008-12,FRHR87,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
760,EEA_3161-05-5,2008,2008-01--2008-12,FRDR182,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
761,EEA_3161-02-2,2008,2008-01--2008-12,FRDR182,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
767,EEA_3161-02-2,2008,2008-01--2008-12,FRHR89,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
769,EEA_3161-05-5,2009,2009-01--2009-12,FRB1R723,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
770,EEA_31615-01-7,2009,2009-01--2009-12,FRB1R723,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
771,EEA_3161-02-2,2009,2009-01--2009-12,FRB1R723,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
783,EEA_3161-05-5,2009,2009-01--2009-12,FRB1R548,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
797,EEA_3161-03-3,2009,2009-06--2009-08,FRGR0229,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
802,EEA_3161-01-1,2009,2009-01--2009-12,FRGR0286,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
806,EEA_3161-01-1,2009,2009-01--2009-12,FRB1R562,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
808,EEA_3161-05-5,2009,2009-01--2009-12,FRB1R562,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
814,EEA_3161-03-3,2009,2009-01--2009-12,ES030MSPF0522011,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
815,EEA_31615-01-7,2009,2009-01--2009-12,ES12113,Spain,50941692.0,6.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
818,EEA_3161-03-3,2009,2009-01--2009-12,ES030MSPF0404021,Spain,50941692.0,5.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
821,EEA_3161-05-5,2009,2009-01--2009-12,ES12118,Spain,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
825,EEA_3161-03-3,2009,2009-01--2009-12,ES12121,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
834,EEA_3161-03-3,2009,2009-01--2009-12,FRB1R574,France,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
842,EEA_31615-01-7,2009,2009-01--2009-12,ES12118,Spain,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
843,EEA_3161-02-2,2009,2009-01--2009-12,ES12118,Spain,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
850,EEA_31615-01-7,2009,2009-01--2009-12,ES12120,Spain,50941692.0,4.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
854,EEA_3161-05-5,2009,2009-01--2009-12,ES030MSPF0404021,Spain,50941692.0,5.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
855,EEA_3161-03-3,2009,2009-01--2009-12,ES12118,Spain,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
863,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0144A,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
870,EEA_3161-05-5,2009,2009-01--2009-12,ES030MSPF0310010,Spain,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
872,EEA_3161-01-1,2009,2009-01--2009-12,ES030MSPF0329010,Spain,50941692.0,3.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
875,EEA_3161-01-1,2009,2009-01--2009-12,FRCR90,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
880,EEA_3161-03-3,2009,2009-01--2009-12,FRCR151,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
884,EEA_3161-03-3,2009,2009-01--2009-12,FRCR22,France,71176346.0,7.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
886,EEA_31615-01-7,2007,2007-01--2007-12,UKSC023221,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
887,EEA_31615-01-7,2007,2007-01--2007-12,UKSC005105,United Kingdom,25867961.0,2.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
889,EEA_31615-01-7,2007,2007-01--2007-12,UKSC005219,United Kingdom,25867961.0,4.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
891,EEA_31615-01-7,2007,2007-01--2007-12,UKSC005222,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
892,EEA_31615-01-7,2007,2007-01--2007-12,UKSC005228,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
893,EEA_31615-01-7,2007,2007-01--2007-12,UKSC005231,United Kingdom,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
894,EEA_31615-01-7,2007,2007-01--2007-12,UKSC010536,United Kingdom,25867961.0,2.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
896,EEA_31615-01-7,2007,2007-01--2007-12,UKSC010527,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
897,EEA_31615-01-7,2007,2007-01--2007-12,UKSC010666,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
